stop_name,district,total_boardings,total_alightings,total_users,route_count,boardings_per_route,commute_boardings,evening_boardings,commute_focus_pct,evening_focus_pct,peak_hour,boarding_alighting_gap,imbalance_index,stop_type,latitude,longitude
율하롯데캐슬탑클래스앞,동구,635100,195837,830937,3,211700.0,1533,1469,27.458355722729717,26.31201862797779,8시,439263,0.528635744948173,출퇴근형,35.86719667,128.692905
남구청네거리1,남구,419664,116496,536160,2,209832.0,842,979,18.525852585258527,21.54015401540154,18시,303168,0.56544315129812,생활형,35.84483677,128.599826
효성타운앞,남구,625838,94080,719918,3,208612.66666666666,1577,1110,21.62940611713071,15.22424907420107,13시,531758,0.7386369003136468,생활형,35.834645,128.6035767
조암초등학교건너,달서구,621568,93950,715518,3,207189.33333333334,279,3251,3.1791248860528714,37.044211485870555,15시,527618,0.7373930495109836,퇴근형,35.82543778,128.5275988
침산중학교앞,북구,413899,33634,447533,2,206949.5,1501,858,29.100426521907718,16.634354400930594,8시,380265,0.8496915311273135,출근형,35.88899638,128.5879529
태왕메트로시티건너,동구,407069,158296,565365,2,203534.5,1512,614,33.547814510761036,13.62325271799423,8시,248773,0.4400219327337207,출근형,35.88096155,128.6409322
이마트월배점앞,달서구,604747,89578,694325,3,201582.33333333334,915,2090,12.547997805814592,28.66154690071311,16시,515169,0.7419709790083895,퇴근형,35.81580833,128.5233033
불로우방아파트건너,동구,397435,152781,550216,2,198717.5,1068,739,26.686656671664167,18.46576711644178,8시,244654,0.4446508280384431,출근형,35.90100803,128.6310504
새론초등학교건너,동구,392343,41897,434240,2,196171.5,1490,813,32.75445152780831,17.872059793361178,7시,350446,0.80703297715549,출근형,35.88534833,128.716455
신천3치안센터앞,동구,388914,207382,596296,2,194457.0,700,886,16.39728273600375,20.754275005856172,16시,181532,0.3044326978547567,생활형,35.87005432,128.6201588
조일고등학교(종점),동구,382290,44186,426476,2,191145.0,477,796,10.927835051546392,18.235967926689575,16시,338104,0.7927855260319455,생활형,35.883578,128.692525
남대구IC2,달서구,380349,71251,451600,2,190174.5,1473,676,38.947646747752515,17.87414066631412,7시,309098,0.6844508414526129,출근형,35.83743167,128.5330217
태왕메트로시티후문,동구,379118,106891,486009,2,189559.0,1916,1065,30.29728020240354,16.840607210626185,8시,272227,0.5601274873510573,출근형,35.87943167,128.6413633
장동초등학교건너,달서구,379000,59394,438394,2,189500.0,1084,978,22.97583721916066,20.72912250953794,8시,319606,0.7290382623849779,생활형,35.8434952,128.5319953
현대시장건너,수성구,566653,64994,631647,3,188884.33333333334,1527,1581,23.477859778597786,24.30811808118081,17시,501659,0.7942078407718235,생활형,35.84814828,128.6130771
강남약국앞2,동구,562104,77444,639548,3,187368.0,1442,1529,22.12674543501611,23.461715513272978,7시,484660,0.757816457873373,생활형,35.88030968,128.6113849
복현우방아파트,북구,560902,97075,657977,3,186967.33333333334,1193,1497,19.43946553690728,24.393025908424313,16시,463827,0.7049288956908828,생활형,35.89940333,128.6243383
대평중학교건너,서구,558149,75877,634026,3,186049.66666666666,2013,912,31.556670324502274,14.296911741652297,8시,482272,0.7606501941560756,출근형,35.87916333,128.56124
삼익뉴타운건너,서구,364593,172023,536616,2,182296.5,834,815,21.95314556462227,21.453013951039747,16시,192570,0.3588599669037077,생활형,35.86278518,128.5509697
