stop_name,district,total_boardings,total_alightings,total_users,route_count,boardings_per_route,commute_boardings,evening_boardings,commute_focus_pct,evening_focus_pct,peak_hour,boarding_alighting_gap,imbalance_index,stop_type,latitude,longitude
성주사건너,달성군,6281,6953,13234,7,897.2857142857143,6,1,18.181818181818183,3.0303030303030303,12시,-672,0.05077829832250264,생활형,35.88149667,128.4985733
구암동2,동구,6269,21611,27880,4,1567.25,5,0,21.73913043478261,0.0,13시,-15342,0.550286944045911,생활형,35.95443833,128.67969
주1리2,,6263,1797,8060,,,,,,,,4466,0.5540942928039703,생활형,,
고봉리2,달성군,6262,1315,7577,2,3131.0,0,1,0.0,5.263157894736842,10시,4947,0.6528969249043157,생활형,35.64965373,128.4378259
매일신문사건너,중구,6234,9155,15389,1,6234.0,17,18,21.25,22.5,15시,-2921,0.18981090389239066,생활형,35.868525,128.5870283
화원본리1교2,달성군,6218,1115,7333,1,6218.0,0,5,0.0,26.31578947368421,15시,5103,0.6958952679667257,퇴근형,35.78969235,128.5202062
동곡리,달성군,6206,346,6552,4,1551.5,32,0,78.04878048780488,0.0,9시,5860,0.8943833943833944,출근형,35.8793418,128.4235741
한세모빌리티앞,달성군,6201,4936,11137,1,6201.0,42,90,12.034383954154727,25.787965616045845,18시,1265,0.11358534614348567,퇴근형,35.73120482,128.4511867
한국교육학술정보원앞,동구,6162,31856,38018,2,3081.0,0,10,0.0,50.0,18시,-25694,0.6758377610605503,퇴근형,35.87687242,128.7354843
은호2리(대구방향),,6154,2623,8777,,,0,1,0.0,50.0,11시,3531,0.4023014697504842,퇴근형,,
현흥리(진량방향),,6152,3799,9951,,,7,5,25.925925925925924,18.51851851851852,16시,2353,0.2364586473721234,출근형,,
덕곡(대구선명학교),동구,6145,3726,9871,4,1536.25,11,5,27.500000000000004,12.5,16시,2419,0.24506129064937696,출근형,35.99523667,128.6122683
정대1리(안매남),달성군,6139,10,6149,1,6139.0,11,0,52.38095238095239,0.0,8시,6129,0.9967474386079037,출근형,35.76866167,128.57352
첨단임상시험센터앞,동구,6138,28279,34417,1,6138.0,14,10,25.925925925925924,18.51851851851852,7시,-22141,0.6433158032367725,출근형,35.87439333,128.7446117
동화사입구앞,동구,6128,62160,68288,3,2042.6666666666667,0,0,0.0,0.0,15시,-56032,0.8205248359887535,생활형,35.988875,128.6973167
군위농협 소보지점,군위군,6105,466,6571,3,2035.0,45,0,29.22077922077922,0.0,10시,5639,0.8581646629127987,출근형,36.25557667,128.4773517
수성월드메르디앙건너,,6081,2094,8175,,,,,,,,3987,0.48770642201834863,생활형,,
금포교2,달성군,6036,7838,13874,2,3018.0,16,9,44.44444444444444,25.0,8시,-1802,0.12988323482773534,출퇴근형,35.77444667,128.42237
대구반도체마이스터고등학교 남편,달서구,5976,8005,13981,1,5976.0,122,20,54.46428571428571,8.928571428571429,8시,-2029,0.1451255275016093,출근형,35.8467587,128.5293395
칠성시장(양친회신협),북구,5976,4797,10773,2,2988.0,6,13,11.320754716981133,24.528301886792452,17시,1179,0.10944026733500417,생활형,35.87800695,128.6014847
동침산네거리2,북구,5960,19508,25468,1,5960.0,8,0,53.333333333333336,0.0,8시,-13548,0.5319616773990891,출근형,35.88660333,128.5995617
우방아파트삼거리,수성구,5952,9443,15395,4,1488.0,20,19,25.0,23.75,18시,-3491,0.22676193569340694,출근형,35.84955,128.6566933
부림초교 입구,,5951,18373,24324,,,4,5,16.0,20.0,15시,-12422,0.5106890314093077,생활형,,
화성전문요양원건너,수성구,5924,8575,14499,3,1974.6666666666667,3,0,37.5,0.0,8시,-2651,0.18284019587557762,출근형,35.83112412,128.6077822
중동치안센터앞,,5920,2421,8341,,,,,,,,3499,0.419494065459777,생활형,,
진인동(양지마을)앞,동구,5906,267,6173,3,1968.6666666666667,1,0,8.333333333333332,0.0,12시,5639,0.9134942491495222,생활형,35.96444,128.7183917
한국부동산원앞2,동구,5903,6571,12474,2,2951.5,0,4,0.0,22.22222222222222,15시,-668,0.05355138688472022,생활형,35.87832278,128.7282571
세천리2,달성군,5899,1727,7626,1,5899.0,69,15,72.63157894736842,15.789473684210526,7시,4172,0.5470757933385786,출근형,35.87802833,128.47713
창2리마을1,달성군,5886,1329,7215,2,2943.0,42,36,35.0,30.0,7시,4557,0.6316008316008316,출퇴근형,35.65907833,128.40854
조양회관건너,동구,5885,9395,15280,1,5885.0,0,3,0.0,5.660377358490567,12시,-3510,0.22971204188481675,생활형,35.87655988,128.656371
코스모스한양아파트건너,북구,5881,6594,12475,1,5881.0,27,7,31.3953488372093,8.13953488372093,8시,-713,0.057154308617234466,출근형,35.93293603,128.5544072
칠곡IC 1,북구,5867,30718,36585,3,1955.6666666666667,29,3,74.35897435897436,7.6923076923076925,8시,-24851,0.6792674593412601,출근형,35.93402595,128.5415375
도덕마을,북구,5852,803,6655,1,5852.0,24,3,37.5,4.6875,8시,5049,0.7586776859504132,출근형,35.95743667,128.6139233
법성삼거리,,5848,36,5884,,,5,2,31.25,12.5,7시,5812,0.9877634262406526,출근형,,
신매태성아파트,수성구,5843,65992,71835,1,5843.0,12,0,63.1578947368421,0.0,7시,-60149,0.8373216398691445,출근형,35.83473687,128.7055582
푸르밀대구공장,달성군,5830,75,5905,2,2915.0,0,29,0.0,87.87878787878788,18시,5755,0.9745977984758679,퇴근형,35.739967,128.469503
이현삼거리1,,5825,3845,9670,,,,,,,,1980,0.2047569803516029,생활형,,
가창중학교앞,달성군,5819,18887,24706,5,1163.8,0,3,0.0,8.823529411764707,16시,-13068,0.5289403383793411,생활형,35.77405667,128.6460533
대동공업건너,,5813,283,6096,,,,,,,,5530,0.9071522309711286,생활형,,
대1리용흥지앞,달성군,5750,47454,53204,4,1437.5,0,23,0.0,47.91666666666667,17시,-41704,0.7838508382828359,퇴근형,35.665815,128.4300383
성서4차산업단지앞1,달서구,5704,787,6491,1,5704.0,7,26,21.21212121212121,78.78787878787878,17시,4917,0.7575103990140194,퇴근형,35.81730833,128.5055583
연경3,,5693,4920,10613,,,,,,,,773,0.07283520211061906,생활형,,
달성군선거관리위원회건너,달성군,5656,7491,13147,1,5656.0,0,14,0.0,50.0,17시,-1835,0.1395755685707766,퇴근형,35.80452833,128.5054867
삼육구가든앞,동구,5639,60,5699,1,5639.0,16,1,34.04255319148936,2.127659574468085,8시,5579,0.9789436743288297,출근형,35.93151667,128.6742333
성동앞,수성구,5625,3808,9433,3,1875.0,1,17,3.225806451612903,54.83870967741935,17시,1817,0.1926216474080356,퇴근형,35.85548667,128.7221833
현충삼거리1,남구,5621,36379,42000,3,1873.6666666666667,3,1,30.0,10.0,7시,-30758,0.7323333333333333,출근형,35.83374147,128.5794734
보람타운건너,달서구,5584,18864,24448,7,797.7142857142857,6,6,22.22222222222222,22.22222222222222,7시,-13280,0.5431937172774869,생활형,35.850125,128.5203017
소보정류장,군위군,5577,358,5935,3,1859.0,24,6,19.834710743801654,4.958677685950414,11시,5219,0.8793597304128054,생활형,36.255685,128.47733
만평네거리2,북구,5563,63975,69538,1,5563.0,0,4,0.0,23.52941176470588,16시,-58412,0.8400011504501136,생활형,35.89024833,128.5622317
