년월,정류소명,정류소ID,구분,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,합계
2024-03-31,대구고등학교건너,7051008500,승차,10,10,31,52,44,36,44,44,52,44,50,51,52,47,23,20,26,13,3,653
2024-03-31,대구고등학교건너,7051008500,하차,6,10,23,31,24,18,19,18,19,15,19,21,21,26,13,8,7,4,2,305
2024-03-31,대구고등학교앞,7051008600,승차,2,6,24,20,20,16,19,17,18,22,31,56,27,23,15,13,15,10,5,358
2024-03-31,대구고등학교앞,7051008600,하차,1,4,4,13,11,8,9,10,12,11,14,15,16,16,11,8,7,6,2,177
2024-03-31,대구고용노동청건너,7061016300,승차,3,5,20,17,12,11,10,11,9,11,14,16,9,12,6,8,6,2,0,184
2024-03-31,대구고용노동청건너,7061016300,하차,0,1,2,2,3,2,3,2,2,2,3,4,2,3,2,2,1,1,0,37
2024-03-31,대구고용노동청앞,7061016500,승차,0,1,5,4,3,3,3,2,4,4,4,3,4,4,4,3,2,2,1,55
2024-03-31,대구고용노동청앞,7061016500,하차,0,0,0,5,2,1,1,1,2,2,3,2,3,3,3,2,2,2,0,36
2024-03-31,대구고용복지플러스센터건너,7061004700,승차,3,4,19,26,17,17,18,18,21,26,27,30,39,44,19,10,11,9,2,359
2024-03-31,대구고용복지플러스센터건너,7061004700,하차,3,5,4,25,16,13,10,9,14,13,14,11,14,17,11,6,8,7,1,203
2024-03-31,대구고용복지플러스센터앞,7061004800,승차,1,6,14,17,15,22,21,17,14,23,27,34,27,38,12,10,10,6,0,313
2024-03-31,대구고용복지플러스센터앞,7061004800,하차,0,2,4,13,6,5,6,5,4,5,5,6,5,4,3,1,2,1,0,80
2024-03-31,대구공공시설관리공단건너,7051001600,승차,6,17,29,45,33,30,31,32,34,33,30,33,33,37,20,16,14,9,1,485
2024-03-31,대구공공시설관리공단건너,7051001600,하차,0,2,4,14,9,10,10,7,7,7,8,9,9,9,6,5,4,3,0,123
2024-03-31,대구공공시설관리공단동부사업소건너,7061010700,승차,2,8,15,21,20,13,18,22,19,24,29,33,35,38,24,21,29,18,1,388
2024-03-31,대구공공시설관리공단동부사업소건너,7061010700,하차,0,0,3,4,4,2,4,6,2,4,5,6,4,6,5,3,4,2,0,61
2024-03-31,대구공공시설관리공단동부사업소앞,7061010800,승차,1,2,7,9,12,8,9,13,11,13,16,16,15,14,11,11,17,10,1,195
2024-03-31,대구공공시설관리공단동부사업소앞,7061010800,하차,0,1,4,7,7,5,5,7,7,8,8,9,10,10,6,4,4,5,3,111
2024-03-31,대구공공시설관리공단앞,7051001500,승차,3,8,27,26,18,17,14,14,17,16,18,21,21,23,13,10,9,6,1,285
2024-03-31,대구공공시설관리공단앞,7051001500,하차,5,12,16,19,22,27,26,29,31,33,35,41,39,31,21,16,17,11,2,433
2024-03-31,대구공업대학교1,7041009400,승차,5,6,33,42,27,22,22,21,22,18,18,23,22,23,10,8,7,4,1,335
2024-03-31,대구공업대학교1,7041009400,하차,0,1,6,9,7,5,5,6,5,6,7,6,10,10,6,5,4,3,0,104
2024-03-31,대구공업대학교2,7041009500,승차,5,8,19,20,14,11,10,10,10,10,13,20,9,9,8,5,7,3,1,190
2024-03-31,대구공업대학교2,7041009500,하차,1,6,9,10,5,4,4,7,7,7,8,8,10,11,6,5,5,4,1,120
2024-03-31,대구공업대학교건너,7041016200,승차,5,8,21,17,14,13,13,15,13,13,14,20,12,16,5,6,6,4,0,215
2024-03-31,대구공업대학교건너,7041016200,하차,1,5,11,11,9,7,6,8,6,6,8,9,5,9,4,3,3,2,0,114
2024-03-31,대구공업대학교앞,7041016300,승차,2,3,15,14,9,8,9,12,9,10,14,14,15,17,11,8,8,4,1,184
2024-03-31,대구공업대학교앞,7041016300,하차,1,2,6,3,5,4,4,4,4,4,5,4,5,5,3,2,2,2,0,65
2024-03-31,대구과학고등학교건너,7061016700,승차,0,1,12,9,8,6,7,7,10,11,20,18,11,12,8,6,8,5,1,162
2024-03-31,대구과학고등학교건너,7061016700,하차,0,5,6,10,8,10,10,9,11,15,14,9,15,15,13,9,8,10,3,180
2024-03-31,대구과학고등학교앞,7061016800,승차,3,6,25,26,19,17,17,15,12,17,33,35,14,24,12,8,8,4,0,295
2024-03-31,대구과학고등학교앞,7061016800,하차,1,0,2,5,2,1,2,1,2,1,2,2,1,2,1,0,1,1,0,26
2024-03-31,대구과학기술고등학교건너,7041002400,승차,1,8,13,18,20,14,19,21,20,25,28,47,25,31,17,14,14,9,1,347
2024-03-31,대구과학기술고등학교건너,7041002400,하차,1,13,23,29,18,13,14,15,14,12,14,17,18,20,7,4,4,4,1,243
2024-03-31,대구과학기술고등학교앞,7031000100,승차,3,16,26,44,25,26,33,44,44,52,58,92,74,86,57,38,36,33,3,792
2024-03-31,대구과학기술고등학교앞,7031000100,하차,0,1,1,3,3,2,3,3,3,4,4,5,5,6,3,2,3,3,0,55
2024-03-31,대구과학대학교1,7021004500,승차,2,7,25,41,27,26,29,30,31,32,43,69,50,45,28,29,21,14,3,550
2024-03-31,대구과학대학교1,7021004500,하차,1,5,9,21,16,15,15,17,19,16,18,23,24,30,19,10,10,10,3,282
2024-03-31,대구과학대학교2,7021004600,승차,13,37,94,76,69,69,73,93,83,77,106,109,132,101,48,41,31,15,0,1266
2024-03-31,대구과학대학교2,7021004600,하차,0,3,10,11,9,10,9,9,10,9,11,10,10,10,6,4,4,2,0,136
2024-03-31,대구과학대학교건너,7021001800,승차,0,1,2,4,2,4,4,6,5,3,7,26,16,16,5,2,4,5,0,114
2024-03-31,대구과학대학교건너,7021001800,하차,0,0,2,3,1,1,1,1,1,1,1,2,1,1,1,1,0,1,0,20
2024-03-31,대구과학대학교앞,7021001700,승차,0,1,3,3,2,4,6,7,5,7,11,32,16,13,5,3,5,6,0,128
2024-03-31,대구과학대학교앞,7021001700,하차,0,0,2,4,2,2,1,2,2,2,2,2,2,2,1,1,1,1,0,27
2024-03-31,대구광역시교육연수원건너,7041010400,승차,10,10,33,41,27,22,20,23,21,18,32,31,22,20,14,10,8,9,1,371
2024-03-31,대구광역시교육연수원건너,7041010400,하차,0,0,5,3,2,2,2,3,2,2,2,3,3,4,1,1,1,1,0,39
2024-03-31,대구광역시교육연수원앞,7041010500,승차,3,9,29,22,19,13,11,10,14,14,16,20,21,12,9,5,5,2,0,236
2024-03-31,대구광역시교육연수원앞,7041010500,하차,1,1,4,11,11,6,8,8,11,11,11,13,16,17,13,8,9,7,2,169
2024-03-31,대구광역시립동부도서관,7011010000,승차,2,6,24,13,11,9,10,13,13,14,17,20,19,15,10,8,7,6,1,220
2024-03-31,대구광역시립동부도서관,7011010000,하차,1,3,7,12,13,10,11,14,13,12,16,19,20,23,18,15,13,12,2,234
2024-03-31,대구교도소건너,7111078400,승차,0,0,0,1,2,1,2,1,2,1,3,2,0,1,0,0,0,0,0,17
2024-03-31,대구교육대건너,7051008700,승차,6,10,21,36,25,22,23,22,22,23,24,27,26,26,10,10,9,7,0,349
2024-03-31,대구교육대건너,7051008700,하차,2,3,13,22,15,14,12,14,15,14,15,15,18,18,8,5,4,4,1,212
2024-03-31,대구교육대앞,7051008800,승차,2,12,49,34,30,28,26,30,31,32,44,46,45,41,25,24,21,17,3,540
2024-03-31,대구교육대앞,7051008800,하차,0,2,4,10,8,5,5,6,7,6,8,9,11,12,10,6,7,6,1,125
2024-03-31,대구교통공사건너,7041017400,승차,0,1,2,2,1,2,2,3,3,3,4,5,6,5,2,3,2,2,0,48
2024-03-31,대구교통공사건너,7041017400,하차,0,2,4,5,5,6,8,8,8,8,11,11,13,11,7,6,4,4,1,124
2024-03-31,대구교통공사앞,7041017500,승차,9,13,31,30,30,31,32,36,37,34,38,43,31,30,21,20,11,11,0,488
2024-03-31,대구교통공사앞,7041017500,하차,0,0,4,4,3,3,2,2,3,3,3,3,3,2,1,2,1,1,0,39
2024-03-31,대구교통방송건너,7051007800,승차,1,6,10,12,9,9,8,8,9,10,9,12,11,9,6,4,3,3,2,140
2024-03-31,대구교통방송건너,7051007800,하차,1,4,8,12,11,10,10,11,13,11,13,15,18,18,10,8,7,5,1,185
2024-03-31,대구교통방송앞,7051007900,승차,6,15,31,53,42,29,29,30,32,26,43,47,29,27,18,15,14,10,2,497
2024-03-31,대구교통방송앞,7051007900,하차,0,2,3,9,6,4,4,4,5,3,5,5,6,5,4,3,3,2,1,74
2024-03-31,대구국제고등학교앞,7021064000,승차,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
2024-03-31,대구국제공항건너,7011013000,승차,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,16
2024-03-31,대구국제공항건너,7011013000,하차,3,5,11,17,16,12,11,11,14,13,15,14,18,19,10,8,7,5,0,210
2024-03-31,대구국제공항앞,7011012900,승차,5,22,61,73,70,55,55,57,55,57,60,77,65,63,45,28,33,27,5,912
2024-03-31,대구국제공항앞,7011012900,하차,1,6,19,28,19,16,22,20,20,19,20,20,25,26,18,10,9,7,2,305
2024-03-31,대구국제공항여객청사,7011060200,승차,1,3,2,6,8,3,3,4,2,3,1,2,4,2,5,2,4,2,0,57
2024-03-31,대구국제공항여객청사,7011060200,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2024-03-31,대구국제사격장,7021054700,승차,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3
2024-03-31,대구국제사격장,7021054700,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-31,대구농업마이스터고건너,7061026000,승차,12,19,66,61,50,38,33,44,43,35,31,31,35,32,18,15,15,10,1,588
2024-03-31,대구농업마이스터고건너,7061026000,하차,3,2,6,9,5,5,4,8,8,8,8,9,9,9,6,3,3,3,1,109
2024-03-31,대구농업마이스터고앞,7061025900,승차,2,4,14,11,11,10,13,10,10,14,30,21,15,17,15,13,11,9,4,236
2024-03-31,대구농업마이스터고앞,7061025900,하차,1,4,6,12,13,16,21,21,19,20,31,34,34,34,25,18,16,14,6,345
2024-03-31,대구농업마이스터고후문건너,7061029700,승차,0,0,2,1,2,1,0,1,2,1,3,2,1,3,2,1,0,0,0,23
2024-03-31,대구농업마이스터고후문건너,7061029700,하차,0,1,2,3,1,2,1,2,2,1,2,3,2,4,2,2,2,1,0,32
2024-03-31,대구농업마이스터고후문앞,7061029600,승차,0,6,21,17,11,7,5,6,10,7,8,11,7,11,5,3,3,1,0,139
2024-03-31,대구농업마이스터고후문앞,7061029600,하차,0,0,0,1,1,0,1,1,1,1,3,3,1,2,2,1,1,1,0,20
2024-03-31,대구대학교대명동캠퍼스,7051006900,승차,4,11,25,32,23,20,21,25,16,20,26,32,32,19,11,9,5,5,0,337
2024-03-31,대구대학교대명동캠퍼스,7051006900,하차,1,3,10,16,8,6,6,6,6,6,7,7,7,9,4,3,4,2,0,111
2024-03-31,대구도시개발공사앞,7021010800,승차,0,9,35,36,27,22,18,27,25,24,24,21,26,39,20,19,16,18,4,411
2024-03-31,대구도시개발공사앞,7021010800,하차,0,3,6,6,7,5,6,7,7,8,8,7,11,12,6,4,3,3,1,110
2024-03-31,대구동부고용복지플러스센터,7011009500,승차,3,14,29,44,34,36,35,37,37,33,34,67,45,41,19,17,16,15,2,558
2024-03-31,대구동부고용복지플러스센터,7011009500,하차,1,3,6,10,11,10,10,10,12,12,13,13,13,13,10,6,6,4,1,166
2024-03-31,대구동촌유치원,7011038900,승차,0,0,1,1,4,2,2,2,3,2,2,2,1,1,2,0,0,0,0,27
2024-03-31,대구동촌유치원,7011038900,하차,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,10
2024-03-31,대구물류터미널건너,7041062900,승차,0,0,0,1,1,1,0,1,1,1,1,2,2,1,1,1,0,1,0,13
2024-03-31,대구물류터미널건너,7041062900,하차,0,3,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14
2024-03-31,대구물류터미널앞,7041063000,승차,0,0,0,1,1,2,2,2,2,1,3,4,6,4,2,3,2,0,0,38
2024-03-31,대구물류터미널앞,7041063000,하차,0,0,0,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,9
2024-03-31,대구미술관(대구간송미술관)건너,7061055900,승차,0,0,0,0,0,0,2,1,1,1,3,5,3,2,0,0,0,0,0,20
2024-03-31,대구미술관(대구간송미술관)건너,7061055900,하차,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,7
2024-03-31,대구미술관(대구간송미술관)앞,7061056000,승차,0,0,0,0,0,0,1,2,2,3,7,7,6,3,1,0,0,0,0,31
2024-03-31,대구미술관(대구간송미술관)앞,7061056000,하차,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,6
