년월,정류소명,승차,하차
2022-01-01,기곡리1,6,3
2022-01-01,기곡리2,40,0
2022-01-01,기성2리(가좌마을),80,1
2022-01-01,기성2리(상행),1,38
2022-01-01,기성2리(하행),18,0
2022-01-01,기업은행대곡지점건너,782,4014
2022-01-01,기업은행대곡지점앞,17728,610
2022-01-01,김흥1리건너,10,0
2022-01-01,김흥1리앞,22,15
2022-01-01,김흥2리건너,0,7
2022-01-01,김흥2리앞,8,0
2022-01-01,김흥리마을입구,72,0
2022-01-01,나불지건너,549,85
2022-01-01,나불지앞,631,582
2022-01-01,남구종합스포츠타운건너,325,285
2022-01-01,남구종합스포츠타운앞,1969,199
2022-01-01,남구청건너1,894,82
2022-01-01,남구청건너2,4729,7191
2022-01-01,남구청네거리1,5172,1396
2022-01-01,남구청네거리2,595,232
2022-01-01,남구청앞,219,566
2022-01-01,남대구IC1,11064,806
2022-01-01,남대구IC2,4715,1014
2022-01-01,남도버스1,2278,122
2022-01-01,남도버스2,1811,575
2022-01-01,남명삼거리1,2063,219
2022-01-01,남명삼거리2,818,489
2022-01-01,남문시장건너1,70,26
2022-01-01,남문시장건너2,8363,12835
2022-01-01,남문시장앞,16793,9013
2022-01-01,남문아파트앞,50,61
2022-01-01,남부경찰서앞,6127,5080
2022-01-01,남부교육지원청건너,4222,1063
2022-01-01,남부교육지원청앞,3541,1003
2022-01-01,남부도서관앞,538,951
2022-01-01,남부자동차종합시장건너,2230,980
2022-01-01,남부자동차종합시장앞,1164,384
2022-01-01,남부초등학교건너,938,77
2022-01-01,남부초등학교앞,256,320
2022-01-01,남부초등학교앞2,2357,1036
2022-01-01,남산2동행정복지센터건너,107,45
2022-01-01,남산2동행정복지센터앞,292,47
2022-01-01,남산고등학교건너,345,158
2022-01-01,남산고등학교앞,218,142
2022-01-01,남산역,9537,3067
2022-01-01,남산역건너,14463,6110
2022-01-01,남산초등학교건너,8619,1774
2022-01-01,남산초등학교앞,5959,5817
2022-01-01,남원1리,195,0
2022-01-01,남원2리,190,4
2022-01-01,남창마을입구,5,14
2022-01-01,남하2리(대구방향),196,129
2022-01-01,남하2리(하양방향),198,26
2022-01-01,남해오네뜨2차앞,1057,65
2022-01-01,내곡동마을회관,51,2
2022-01-01,내당광명아파트,2522,1900
2022-01-01,내당삼익맨션건너,13495,5765
2022-01-01,내당삼익맨션앞,7918,9984
2022-01-01,내당코오롱아파트건너,6089,9276
2022-01-01,내당코오롱아파트앞,3766,1077
2022-01-01,내동,287,26
2022-01-01,내동건너,9,134
2022-01-01,내리1,9,8
2022-01-01,내리리입구,2761,90
2022-01-01,내리리입구 건너,12,439
2022-01-01,내일교회건너,99,37
2022-01-01,내일교회앞,346,57
2022-01-01,냉천2리,32,21
2022-01-01,냉천리1,1034,69
2022-01-01,냉천리2,17,170
2022-01-01,노곡교(하중도)1,78,229
2022-01-01,노곡교(하중도)2,483,8
2022-01-01,노곡동,3257,9
2022-01-01,노곡리,1,0
2022-01-01,노곡리(종점),39,29
2022-01-01,노변중학교,909,262
2022-01-01,노변중학교건너,1079,203
2022-01-01,노변청구타운건너,452,211
2022-01-01,노변청구타운앞,623,128
2022-01-01,노사평화의전당건너,0,15
2022-01-01,노사평화의전당앞,34,150
2022-01-01,노원119안전센터건너,3372,3169
2022-01-01,노원119안전센터앞,1712,760
2022-01-01,노원네거리(대구은행건너),327,236
2022-01-01,노원네거리(대구은행앞),2652,260
2022-01-01,노원네거리1(오봉새마을금고앞),2626,689
2022-01-01,노원네거리2(오봉새마을금고건너),5147,456
2022-01-01,노원네거리3(기업은행),2793,95
2022-01-01,노원네거리4(기업은행),206,586
2022-01-01,노원동화타운건너,306,460
2022-01-01,노원동화타운앞,1619,698
2022-01-01,노이2리건너,2,12
2022-01-01,노이2리앞,179,12
2022-01-01,노이3리1,206,5
2022-01-01,노이3리2,3,5
2022-01-01,녹동서원건너,144,0
2022-01-01,녹동서원앞,0,20
2022-01-01,녹원맨션,4205,667
2022-01-01,논공삼거리1,1130,30
2022-01-01,논공삼거리2,405,602
2022-01-01,논공읍행정복지센터건너1,1314,483
2022-01-01,논공읍행정복지센터건너2,52,134
2022-01-01,논공읍행정복지센터앞,973,271
2022-01-01,농산물도매시장건너,1186,157
2022-01-01,농산물도매시장앞,2194,184
2022-01-01,농수산물도매시장건너,1703,743
2022-01-01,농수산물도매시장앞,4966,3978
2022-01-01,농연서당1,0,7
2022-01-01,농연서당2,10,0
2022-01-01,농협동촌지점,273,180
2022-01-01,농협방촌지점,1347,162
2022-01-01,농협중앙회앞,12630,15997
2022-01-01,농협중앙회중동지점건너,1293,62
2022-01-01,농협중앙회중동지점앞,43,287
2022-01-01,능성동(종점)1,2,0
2022-01-01,능성동(종점)2,193,39
2022-01-01,능성동입구건너,525,1
2022-01-01,능성동입구앞,2,105
2022-01-01,다리골,7,0
2022-01-01,다부1리,16,0
2022-01-01,다부2리 예술대,2,0
2022-01-01,다부동,103,0
2022-01-01,다부리 전적기념관,3,9
2022-01-01,다사고등학교건너,3869,3668
2022-01-01,다사고등학교앞,429,3310
2022-01-01,다사농협세천지점건너,3473,980
2022-01-01,다사농협세천지점앞,2517,550
2022-01-01,다사농협주유소건너,50,1467
2022-01-01,다사농협주유소앞,5371,589
2022-01-01,다사역(3번출구),1,17
2022-01-01,다사읍행정복지센터건너,4849,204
2022-01-01,다사읍행정복지센터서재출장소건너,1818,44
2022-01-01,다사읍행정복지센터서재출장소앞,349,370
2022-01-01,다사읍행정복지센터앞,31,300
2022-01-01,다사주공아파트건너,117,1
2022-01-01,다사주공아파트앞,3,74
2022-01-01,다사체육공원건너,12,11
2022-01-01,다사체육공원앞,11,3
2022-01-01,다사초등학교건너,55,0
2022-01-01,다사초등학교앞,0,37
2022-01-01,다산(종점),7352,392
2022-01-01,다산농협건너,3485,16
2022-01-01,다산농협앞,45,813
2022-01-01,다산주공아파트건너,7530,19
2022-01-01,다산주공아파트앞,16,844
2022-01-01,다예원,5,9
2022-01-01,다예원건너,219,0
2022-01-01,단산리(종점),48,1
2022-01-01,단산리입구1,618,27
2022-01-01,단산리입구2,0,1
2022-01-01,달구벌종합복지관건너,591,197
2022-01-01,달구벌종합복지관앞,471,174
2022-01-01,달서교회건너,15105,4875
2022-01-01,달서교회앞,14023,7490
2022-01-01,달서구새마을회건너,3590,145
2022-01-01,달서구새마을회앞,12,354
2022-01-01,달서구청건너,10240,2506
2022-01-01,달서구청앞,6580,3628
2022-01-01,달서구치매안심센터건너,1925,499
2022-01-01,달서구치매안심센터앞,1755,1382
2022-01-01,달서별빛캠핑장건너,136,13
